Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
Azerbaijan,"Azerbaijan follows Council of Europe AI framework guidelines through its membership in the Committee on Artificial Intelligence and has ratified the Council of Europe Framework Convention on AI and human rights, but lacks comprehensive domestic AI legislation. The country adopts a compliance-based approach aligned with international standards rather than developing independent regulatory frameworks.",Policy mechanisms are primarily through international treaty alignment and voluntary adherence to Council of Europe recommendations. Domestic policy implementation relies on existing data protection and technology governance structures rather than AI-specific regulatory instruments.,"Governance follows a centralized model through government agencies coordinating with international bodies, but lacks dedicated AI governance institutions. Responsibility is distributed across existing technology, data protection, and digital development ministries without specialized AI oversight bodies.","Primary actors include the Government of Azerbaijan, Council of Europe coordination bodies, and government technology agencies. Limited documented involvement of private sector, academia, or civil society in AI policy development.",Enforcement mechanisms are minimal with reliance on international compliance monitoring rather than active domestic enforcement bodies for AI-specific regulations.,,,2026-03-21,low
Bahamas,"The Bahamas remains in early stages of AI regulation development with no comprehensive AI-specific legislation enacted as of March 2026. The government has been exploring policy frameworks and participating in international discussions on AI governance, but formal regulatory proposals are still under development.",The Bahamas has relied primarily on voluntary guidelines and participation in regional initiatives rather than binding regulatory mechanisms. Policy development is ongoing through consultation with regional Caribbean bodies and international organizations.,"Governance structure remains informal with responsibility scattered across multiple agencies including the Ministry of Technology and the Central Bank, without a dedicated AI regulatory body or clear institutional mandate.",Involvement is limited to government agencies and some participation in Caribbean Community (CARICOM) discussions on digital governance. Private sector and civil society engagement in formal AI policy development remains minimal.,"No formal enforcement mechanisms exist for AI regulation, as binding AI-specific rules have not been established.",,,2026-03-21,low
Bahrain,"Bahrain has enacted a comprehensive risk-based AI regulatory framework as of April 2024, establishing binding rules for AI systems with potential societal impact. The framework applies to both public and private sector AI deployments with particular focus on high-risk applications.","Bahrain employs specific prohibitions on AI systems that could incite societal unrest or political disturbance, with criminal penalties and extended liability to organizations deploying such systems. Regulations also target biometric tampering, privacy violations, and discriminatory AI applications.","Governance is structured through case-by-case organizational oversight with national-level bureaucratic coordination. Designated authorities evaluate AI systems for compliance with prohibitions on political destabilization and evaluate specific harms including biometric security, privacy invasion, and discrimination.",Implementation involves national government agencies and organizational-level compliance officers across Bahrain's public and private sectors. Responsibility extends to both system developers and deploying establishments under extended liability provisions.,"Enforcement includes criminal penalties for violations and organizational liability mechanisms, though effectiveness and consistency of enforcement across the private sector remains moderately developed.",Bahrain Comprehensive AI Law (April 2024),,2026-03-21,medium
Bangladesh,"Bangladesh has not ratified comprehensive AI regulation as of March 2026, maintaining a largely permissive approach with sector-specific guidelines emerging. The country continues to develop AI governance frameworks within existing regulatory structures rather than through dedicated AI legislation.","Bangladesh employs data-driven policy making as a primary mechanism, with emphasis on AI applications in agriculture, medical science, climate change mitigation, and job creation. The government integrates AI considerations into sectoral strategies rather than standalone AI policy.","Case-based governance structure with specific focus on beneficial AI applications (agriculture, medical science, space exploration, climate change) while maintaining restrictions on weaponry applications. Governance remains distributed across sectoral ministries rather than centralized under a single AI authority.","Multiple stakeholders including ministries, academia, and private industries participate in AI governance, with supranational engagement through international conferences (latest April 2024). Involvement remains collaborative but not yet formalized through binding multilateral agreements.","Enforcement mechanisms are nascent with limited oversight infrastructure, relying primarily on sector-specific regulatory bodies rather than dedicated AI enforcement agencies.",,,2026-03-21,low
Barbados,Barbados is in the early stages of AI engagement with no comprehensive AI-specific legislation enacted as of March 2026. The country has been developing proposals and participating in regional discussions but has not yet implemented formal AI regulatory frameworks. Existing governance relies on general data protection and consumer protection laws rather than AI-targeted regulation.,"Policy mechanisms are primarily voluntary and advisory, with engagement through regional Caribbean bodies and international frameworks rather than domestic binding legislation. The government has expressed interest in AI governance alignment with CARICOM initiatives but lacks specific domestic policy levers.","Governance is fragmented across general regulatory bodies (data protection authority, consumer affairs ministry) without a dedicated AI governance structure. Regional coordination through CARICOM provides some framework but national implementation remains nascent.",Involvement is limited to government ministries (particularly technology/digital transformation and consumer affairs) with minimal private sector or academic institution integration into formal regulatory processes. International engagement occurs through regional Caribbean organizations and selective participation in global AI governance discussions.,No dedicated AI enforcement mechanisms exist; enforcement relies on general consumer protection and data privacy laws which have limited application to AI-specific harms.,,,2026-03-21,low
Belarus,"Belarus has minimal AI-specific regulation as of 2026, with no comprehensive national AI law enacted. The country has not adopted the EU AI Act framework and operates primarily through general data protection and technology governance mechanisms rather than risk-based AI-specific legislation.",Belarus relies on general data protection regulations and sectoral oversight rather than dedicated AI policy mechanisms. Limited focus on human rights or democratic safeguards in AI governance compared to international standards.,AI governance in Belarus is fragmented across multiple government agencies without a dedicated central AI authority. Responsibility is distributed among sectoral regulators rather than consolidated organizational governance structures.,"Belarus operates largely independently of EU regulatory frameworks and international AI governance initiatives, with limited participation in multilateral AI policy coordination. Governance is primarily domestic with minimal intergovernmental AI policy engagement.",Enforcement mechanisms specific to AI systems are absent; oversight relies on general sectoral regulators with limited capacity or mandate for AI-specific compliance monitoring.,,,2026-03-21,low
Belgium,"Belgium operates under the EU AI Act (2024), a comprehensive risk-based regulatory framework categorizing AI systems from prohibited to high-risk and transparency-required systems. National implementation through federal and regional authorities is underway, with Belgium actively transposing EU requirements into domestic legal frameworks.","Belgium employs data protection, human rights safeguards, and democratic accountability mechanisms as primary policy levers, particularly through GDPR enforcement and AI Act compliance. The approach emphasizes institutional governance and risk mitigation through regulatory oversight.","Belgium utilizes multi-level governance combining EU regulatory frameworks with national implementation through federal and regional authorities, including the Data Protection Authority and sector-specific regulators. Model governance focuses on organizational compliance and risk management structures.","Primary actors include EU institutions (European Commission, Parliament), Belgian federal and regional governments, the Belgian Data Protection Authority, and sectoral regulators operating within the EU AI Act framework. Governance operates at both regional/intergovernmental and national organizational levels.","The Belgian Data Protection Authority and designated national competent authorities conduct oversight with enforcement powers including inspections, audits, and administrative penalties aligned with EU AI Act provisions; enforcement intensity is increasing as implementation matures.","EU AI Act (2024), Belgian Data Protection Act, General Data Protection Regulation (GDPR) 2016/679, AI Liability Directive (under implementation)",https://www.belgium.be/en|https://www.autoriteprotectiondonnees.be/|https://digital-strategy.ec.europa.eu/,2026-03-21,medium
Belize,"Belize remains in the early stages of AI regulation development with no comprehensive national AI policy or legislation enacted as of March 2026. The country has not yet formalized dedicated AI regulatory frameworks, though discussions regarding digital governance and technology policy continue at governmental and advisory levels.",No specific policy mechanisms targeting AI have been formally implemented. Belize relies on general ICT and data protection frameworks rather than AI-specific regulatory levers.,No dedicated AI governance structure exists in Belize. AI oversight remains fragmented across general telecommunications and digital economy portfolios without specialized institutional arrangements.,"Involvement is limited to government ministries responsible for telecommunications and digital affairs, with minimal participation from private sector or international AI governance bodies. Regional Caribbean coordination on AI policy remains underdeveloped.",No AI-specific enforcement mechanisms or oversight bodies exist to monitor or penalize non-compliance with AI standards.,,,2026-03-21,low
Benin,Benin follows a human-rights-centered approach to AI governance primarily through African Union frameworks and international collaboration rather than domestic legislation. The country lacks comprehensive national AI legislation but participates in AU-led initiatives promoting responsible AI development.,"Policy mechanisms focus on data and computing export controls within the African Union framework, with emphasis on capacity building and private sector engagement rather than restrictive regulatory measures.",Governance follows a case-by-case and organizational approach emphasizing private sector development and human-centered principles through international partnerships. Institutional structures for AI governance remain nascent with limited dedicated domestic oversight bodies.,"Key actors include the African Union (policy framework development), UNDP (capacity building), and G7 (international coordination), with Benin positioned as a participating member rather than a primary policy driver. Engagement is primarily at the continental and multilateral level rather than through strong bilateral relationships.","Enforcement mechanisms are minimal, with no established domestic enforcement bodies or penalty structures specific to AI regulation in Benin.",,,2026-03-21,low
Bhutan,"Bhutan lacks comprehensive AI-specific legislation as of March 2026. The country is in early stages of AI engagement, with focus on digital transformation and ICT policy rather than dedicated AI regulation. AI governance remains largely absent from formal regulatory frameworks.","Bhutan relies on general ICT policies and data protection frameworks rather than AI-specific mechanisms. The country has not yet established dedicated policy instruments targeting AI development, deployment, or safety.",Governance of AI matters falls under the Ministry of Information and Communications and broader digital governance structures. No specialized AI governance body or inter-ministerial committee for AI oversight has been established.,"Limited involvement of government agencies, private sector, and international partners in formal AI governance. Bhutan participates in regional digital initiatives but has not prioritized AI policy development at the national level.",No dedicated enforcement mechanisms exist for AI-related activities as formal AI regulation has not been enacted.,,,2026-03-21,low
Bolivia,"Bolivia lacks dedicated national AI legislation as of March 2026. The country relies primarily on participation in regional frameworks and international declarations, with minimal domestic regulatory infrastructure for AI governance.",Bolivia's AI policy approach is primarily data-focused through regional coordination mechanisms. The country has engaged with the Santiago Declaration framework but has not implemented binding national data protection or AI-specific legislative measures.,"Governance is decentralized and informal, operating through regional organizational structures rather than dedicated national AI governance bodies. Bolivia participates in regional initiatives but lacks a formal national AI regulatory authority.",Key actors include participation in the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and commitment to the Santiago Declaration (2023). Involvement remains primarily at the regional association level with limited domestic stakeholder integration.,No dedicated AI-specific enforcement mechanisms exist; compliance is largely voluntary through regional framework participation without binding domestic enforcement structures.,,,2026-03-21,low
Bosnia and Herz.,"Bosnia and Herzegovina applies the EU AI Act through its EU integration framework, implementing risk-based regulation of AI systems across prohibited, high-risk, and transparency-obligation categories. The country is also subject to the EU's draft AI liability directive as it progresses toward full EU membership.","Policy mechanisms focus on human rights protection, democratic governance, and rule of law through data-based safeguards and institutional oversight. The country leverages EU regulatory frameworks to mitigate AI-related risks to fundamental rights and democratic processes.","Governance combines organizational structures with AI model governance, integrating national institutions with EU-level oversight bodies. Bosnia and Herzegovina implements both organizational compliance requirements and technical model governance standards derived from EU directives.","Governance operates at multiple levels: EU regulations provide the primary framework, intergovernmental coordination through EU institutions, and national implementation by Bosnian authorities. Regional actors include EU member states and intergovernmental bodies overseeing harmonized AI regulation.","Enforcement mechanisms include EU oversight bodies and national competent authorities with investigatory powers, though enforcement capacity varies across Bosnia and Herzegovina's fragmented institutional structure.","EU AI Act (2024), EU AI Liability Directive (draft as of 2026)",europa.eu/commission/ai | eulaw.europa.eu,2026-03-21,medium
Botswana,"Botswana is following a human-rights-centered approach to AI governance primarily through African Union frameworks and international partnerships rather than domestic legislation. The country is in early stages of developing its own AI policy framework, relying heavily on continental guidance documents and voluntary guidelines.","Data and computing export controls are being considered as policy mechanisms, but implementation remains limited and largely aligned with African Union recommendations rather than independently enacted controls. Botswana has not yet established binding national export control mechanisms specific to AI or computing resources.","Governance is primarily case-based and organizational, focused on developing private sector engagement and promoting human-centered AI principles through collaboration with international bodies. Institutional frameworks for comprehensive AI governance remain underdeveloped at the national level.","Strong involvement from African Union, G7 through multilateral engagement, and UNDP technical assistance drives AI policy discussions in Botswana. Regional coordination through AU frameworks is significant, though direct G7 influence is indirect through international cooperation mechanisms.","Enforcement mechanisms are minimal, with oversight primarily occurring through voluntary adherence to African Union guidelines and international best practices rather than binding national enforcement structures.",,,2026-03-21,low
Brazil,"Brazil continues developing AI regulation through draft legislation and sectoral policies. The National AI Working Group established in 2024 guides regulatory development, while existing data protection frameworks (LGPD) are being applied to AI contexts through enforcement actions and policy guidance.","Brazil employs data protection and privacy as primary policy mechanisms, with sectoral approaches (elections, consumer protection) and organizational security requirements. Regulatory focus centers on data governance, transparency, and algorithmic accountability within existing LGPD frameworks.","Governance involves multiple actors including the National Data Protection Authority (ANPD), Consumer Secretariat, and an interministerial AI working group. Brazil combines sectoral regulation with cross-agency coordination to address AI impacts on elections, consumer protection, and data privacy.","Brazil engages in regional coordination (MERCOSUR context) and international advocacy for global AI governance standards, including G7 engagement. Domestic stakeholders include government agencies, private sector (particularly tech companies facing enforcement), civil society, and academic institutions.","Moderate enforcement through ANPD investigations and compliance orders (Meta cases), LGPD application to AI practices, and sectoral oversight; however, comprehensive AI-specific enforcement mechanisms remain limited pending final legislation.","Lei Geral de Proteção de Dados (LGPD, 2018), AI Electoral Rules (2024)",https://www.gov.br/cidadania/pt-br|https://www.gov.br/anpd/pt-br,2026-03-21,medium
Brunei,"Brunei lacks comprehensive AI-specific legislation as of March 2026, instead relying on ASEAN regional guidelines and general data protection frameworks. The regulatory approach remains largely principle-based and voluntary, with no binding national AI regulation formally ratified.","Brunei's Digital Economy Masterplan 2025 serves as the primary policy mechanism, promoting AI innovation and digital transformation within a light-touch regulatory framework. The focus is on enabling business growth and technological advancement rather than restrictive regulation.","Governance is structured around institutional reforms supporting economic prosperity through technology leverage, with coordination between government ministries and private sector stakeholders. Decision-making remains centralized within the sultanate's governance structure with emphasis on case-by-case institutional adaptation.","Brunei engages primarily through ASEAN regional mechanisms and bilateral partnerships, participating in ASEAN AI governance discussions and initiatives rather than unilateral action. Domestic actors include government agencies, technology businesses, and research institutions aligned with regional standards.","Enforcement mechanisms are minimal, with soft oversight through existing data protection and consumer protection bodies rather than dedicated AI compliance agencies or active penalty mechanisms.","Personal Data Protection Act 2001, ASEAN Guide on AI Governance and Ethics 2024",,2026-03-21,medium
Bulgaria,"Bulgaria applies the EU AI Act (2024) as the primary risk-based regulatory framework, categorizing AI systems by risk level with prohibitions on high-risk applications and transparency requirements for lower-risk systems. The country operates within the EU's harmonized approach while transposing regulations into national law and preparing for the AI Liability Directive implementation.","Bulgaria leverages data protection, human rights safeguards, and democratic principles through GDPR alignment and AI Act compliance mechanisms. The regulatory approach emphasizes protecting rule of law and democratic institutions through institutional oversight and transparency obligations.",Bulgaria employs organizational governance structures through designated competent authorities and model governance via technical standards compliance. Governance integrates EU-level institutional frameworks with national implementation bodies.,"EU-level governance dominates through the European Commission and standardization bodies (ETSI, CEN, CENELEC), while Bulgaria coordinates through national authorities and participates in intergovernmental mechanisms. International cooperation extends through OECD AI principles and multilateral AI governance initiatives.","The EU AI Act provides enforcement mechanisms with administrative fines up to €30 million or 6% of global turnover, administered through national authorities and supported by periodic audits and compliance monitoring.","EU AI Act (2024), GDPR (2018), Draft AI Liability Directive (2022), Bulgarian Law on Protection of Personal Data (2018)",https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence | https://www.europarl.europa.eu/topics/en/article/20230601PRE93804/eu-ai-act-what-it-is-and-an-overview-of-its-requirements | https://european-union.europa.eu/priorities-and-actions/actions/artificial-intelligence-act_en,2026-03-21,medium
Burkina Faso,"Burkina Faso has not enacted domesticated AI-specific legislation as of March 2026. The country participates in African Union-led human rights-centered AI governance initiatives and regional policy frameworks, but lacks comprehensive national AI regulation.","Policy mechanisms remain largely aspirational, focusing on data governance and computing export controls through African Union coordination rather than enforceable national measures. Implementation of these levers is minimal at the domestic level.",Burkina Faso follows a developing case-based and organizational governance model emphasizing private sector engagement and human-centered approaches aligned with African Union directives. Governance structures remain nascent with limited institutional capacity for AI oversight.,"Involvement includes the African Union, G7 coordination, and UNDP technical assistance in advancing AI policy frameworks. Regional and multilateral engagement exceeds domestic institutional capacity for independent AI governance.",No documented enforcement mechanisms or dedicated oversight bodies exist for AI regulation in Burkina Faso as of March 2026.,,,2026-03-21,low
Burundi,Burundi follows a human-rights-centered approach to AI governance primarily through African Union frameworks and international partnerships rather than domestic legislation. The country has not yet enacted dedicated national AI laws but engages with AU-promoted blueprints and resolutions on AI governance.,"Data and computing export controls are identified as a policy mechanism, though implementation remains limited. Burundi relies on regional African Union guidance rather than independent domestic policy levers.",Governance follows a case-by-case and organizational approach with emphasis on developing private sector engagement and human-centered principles. Institutional capacity for AI-specific governance remains nascent.,"The African Union, G7, and UNDP are primary actors shaping AI policy frameworks relevant to Burundi. Burundi's own governmental agencies have limited direct involvement in AI regulation setting compared to international actors.",No dedicated enforcement mechanisms exist for AI regulation in Burundi; compliance with AU guidelines is voluntary and lacks direct enforcement infrastructure.,,,2026-03-21,low
Cambodia,Cambodia follows ASEAN's AI governance framework but has not ratified independent national AI legislation as of March 2026. The country relies on regional guidelines and sectoral regulations rather than comprehensive AI-specific laws.,Policy mechanisms consist primarily of voluntary ASEAN guidelines and organizational frameworks rather than binding legislative instruments. Limited sector-specific policies exist for telecommunications and data protection.,"Governance is primarily organizational with intraregional coordination through ASEAN structures, including relevant ministries and technical working groups. Domestic implementation relies on existing institutions without dedicated AI regulatory bodies.","Primary actors include ASEAN member states through regional coordination mechanisms, with involvement from Cambodia's Ministry of Posts and Telecommunications and relevant sectoral agencies. International engagement occurs through ASEAN frameworks rather than bilateral AI agreements.","Enforcement mechanisms are minimal, with reliance on voluntary compliance with ASEAN guidelines and existing sectoral regulators lacking specific AI enforcement mandates.","Law on Telecommunications (2009), Personal Data Protection Law (2021)",asean.org|mpt.gov.kh,2026-03-21,medium
Cameroon,"Cameroon has adopted a human rights-centered approach to AI governance primarily through participation in African Union initiatives rather than domestic legislation. The country lacks comprehensive national AI legislation but engages with continental frameworks and guidelines developed through AU, G7, and UNDP partnerships.","Data and computing export controls serve as the primary policy mechanism, though implementation remains limited. Cameroon participates in broader African frameworks addressing data sovereignty and digital infrastructure rather than having standalone export control mechanisms.",Governance relies on case-by-case and organizational approaches with emphasis on private sector engagement and human-centered principles. Institutional structures remain nascent without dedicated national AI governance bodies or established regulatory agencies.,"The African Union, G7, and UNDP are primary external actors shaping AI policy direction in Cameroon through collaborative initiatives and technical support. Domestic private sector involvement is being developed but remains limited in scope.",No formal enforcement mechanisms exist; compliance with AI governance principles remains voluntary and largely aspirational without penalties or systematic oversight bodies.,,,2026-03-21,low
Canada,Canada is pursuing a risk-based regulatory approach with draft AI legislation under development and ongoing multi-sector consultations. The government has not yet enacted comprehensive binding AI legislation but has established a framework for responsible AI use at the national level.,"Policy mechanisms include sector-specific consultations addressing copyright, privacy, and competition concerns, combined with principles-based guidance on responsible AI use. The government is leveraging consultation processes to inform legislative design across multiple policy domains.",Canada is implementing model governance through an AI government initiative with centralized coordination at the national level. Governance structures remain under development as part of the legislative consultation process.,Involvement is currently concentrated at the national federal level with limited evidence of provincial or municipal governance integration. International coordination mechanisms are not prominently featured in available information.,Enforcement mechanisms are minimal given the draft status of legislation; current activity focuses on consultation and policy development rather than active enforcement of binding rules.,,https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai.html,2026-03-21,medium
Cape Verde,Cape Verde adopts a human-rights-centered approach to AI governance primarily through participation in African Union frameworks and international initiatives rather than domestic legislation. The country engages with AU blueprints and resolutions on AI governance but lacks comprehensive national AI-specific laws.,"Policy mechanisms focus on data and computing export controls as part of broader African Union coordination. Implementation remains limited, with emphasis on establishing frameworks rather than active enforcement of controls.",Cape Verde employs case-by-case and organizational governance with emphasis on developing private sector engagement and human-centered AI approaches. Governance structure remains nascent with limited institutional capacity for comprehensive AI regulation.,"Primary actors include the African Union (regional framework), G7 (through international cooperation), and UNDP (capacity building). Cape Verde participates in AU-led AI governance initiatives while maintaining limited bilateral engagement with G7 mechanisms.","Enforcement mechanisms are minimal, with no dedicated national AI regulatory body or active penalty structures for AI-related violations.",,,2026-03-21,low
